Region,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia (IDA & IBRD countries),26.59969418,26.33368942,25.36222079,24.86198725,24.04547776,25.12045017,23.97877768,24.07869299
European Union,15.97908406,16.15636937,14.86924373,14.39668788,13.81144457,13.9960792,13.05569067,13.0800302
North America,9.263171058,9.630810585,8.914901076,8.641442144,8.142225682,7.973350547,7.321048084,7.311093663
Latin America & the Caribbean (IDA & IBRD countries),21.07037187,21.52004806,20.45802841,19.78004796,18.39823316,17.75161854,16.69620206,16.7060344
Middle East & North Africa (IDA & IBRD countries),50.35636957,48.44597241,48.99666745,50.15950526,49.41244326,54.71259307,54.63071276,54.10477709
South Asia (IDA & IBRD),89.16764514,90.56946604,82.73166317,84.690261,83.06717057,82.72487678,81.98118027,82.86952124
South Africa,27.13858684,26.55787322,26.57708662,26.72926171,26.72221238,26.11297177,25.14041614,25.10220499
East Asia & Pacific,51.9120112,52.41693271,48.05672835,48.82717052,44.84952702,44.21893188,39.52054218,39.74995754
